CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
Container (TEU),,,,"234,572","115,894","89,864","1,998","6,542","12,806",0,0,"2,239","5,231","232,864","117,527","85,554","1,745","9,588","11,656",0,0,610,"6,186","228,900","117,742","71,298","1,660","18,388","13,472",0,0,302,"6,040","217,774","109,704","69,790","1,845","19,581","13,417",0,0,0,"3,439","914,111","460,866","316,505","7,247","54,097","51,350",0,0,"3,151","20,896"
,Domestic,,,"125,499","6,820","89,864","1,998","6,542","12,806",0,0,"2,239","5,231","122,066","6,728","85,554","1,745","9,588","11,656",0,0,610,"6,186","116,956","5,797","71,298","1,660","18,388","13,472",0,0,302,"6,040","113,770","5,699","69,790","1,845","19,581","13,417",0,0,0,"3,439","478,289","25,044","316,505","7,247","54,097","51,350",0,0,"3,151","20,896"
,Inbound,,,"65,425","5,026","45,203",953,"3,401","7,181",0,0,"1,030","2,632","66,305","4,707","45,646",815,"4,594","6,265",0,0,350,"3,928","61,762","4,268","37,248",881,"8,851","7,306",0,0,192,"3,016","62,978","4,605","37,955","1,005","10,142","7,496",0,0,0,"1,775","256,468","18,606","166,052","3,653","26,987","28,248",0,0,"1,572","11,351"
,Empties,,,"8,290",2,"1,506",549,"2,553",29,,,"1,020","2,632","8,850",,"2,770",324,"2,199",198,,,284,"3,076","6,729",,"1,823",344,"2,054",216,,,192,"2,101","6,191",,"1,879",458,"1,863",216,,,,"1,775","30,060",2,"7,977","1,674","8,668",659,0,0,"1,496","9,584"
,Fulls,,,"57,135","5,024","43,697",404,848,"7,152",,,10,,"57,455","4,707","42,876",492,"2,395","6,067",,,66,852,"55,033","4,268","35,426",537,"6,797","7,090",,,0,915,"56,787","4,605","36,076",547,"8,279","7,280",,,,,"226,409","18,604","158,075","1,980","18,319","27,589",0,0,76,"1,767"
,Outbound,,,"60,074","1,794","44,661","1,046","3,141","5,625",0,0,"1,209","2,599","55,761","2,021","39,908",930,"4,994","5,391",0,0,260,"2,258","55,194","1,529","34,050",779,"9,537","6,166",0,0,110,"3,024","50,792","1,094","31,835",840,"9,439","5,921",0,0,0,"1,664","221,821","6,438","150,453","3,594","27,111","23,102",0,0,"1,579","9,545"
,Empties,,,"16,748",907,"15,383",33,129,285,,,12,,"15,042",858,"12,440",0,"1,388",342,,,10,4,"14,611",554,"7,636",48,"5,218",253,,,0,902,"13,904",42,"7,464",0,"5,973",425,,,,0,"60,304","2,361","42,922",81,"12,707","1,305",0,0,22,906
,Fulls,,,"43,326",887,"29,279","1,013","3,013","5,340",,,"1,197","2,599","40,720","1,163","27,468",930,"3,606","5,049",,,250,"2,254","40,584",975,"26,414",731,"4,320","5,913",,,110,"2,122","36,889","1,052","24,371",840,"3,466","5,496",,,,"1,664","161,518","4,077","107,531","3,513","14,404","21,797",0,0,"1,557","8,639"
,Foreign,,,"109,074","109,074",0,0,0,0,0,0,0,0,"110,799","110,799",0,0,0,0,0,0,0,0,"111,945","111,945",0,0,0,0,0,0,0,0,"104,005","104,005",0,0,0,0,0,0,0,0,"435,822","435,822",0,0,0,0,0,0,0,0
,Export,,,"56,203","56,203",0,0,0,0,0,0,0,0,"56,532","56,532",0,0,0,0,0,0,0,0,"55,894","55,894",0,0,0,0,0,0,0,0,"54,050","54,050",0,0,0,0,0,0,0,0,"222,679","222,679",0,0,0,0,0,0,0,0
