CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Empties,,,"8,667",,"2,138",349,"2,763",12,,,406,"3,000","6,062",5,900,76,"2,250",35,,,818,"1,978","9,806",2,"2,279",198,"2,642",133,203,,"1,334","3,016","7,401",,"1,673",395,"2,538",498,,,796,"1,501","31,935",7,"6,990","1,017","10,192",678,203,0,"3,354","9,495"
,Fulls,,,"60,520","3,314","48,430",728,"1,119","6,920",,,10,0,"29,608","2,705","19,294",457,"1,261","5,891",,,,,"50,684","5,804","35,328",527,"1,200","7,595",141,,90,,"57,914","5,434","44,877",383,"1,061","6,075",,,84,,"198,725","17,257","147,928","2,094","4,641","26,481",141,0,184,0
,Outbound,,,"65,386","1,374","50,167","1,104","3,470","5,826",0,0,383,"3,063","31,944","1,288","18,729",766,"3,224","4,812",20,0,"1,121","1,984","51,001","2,173","33,856",817,"3,671","6,100",0,0,"1,480","2,904","59,675","2,467","43,977",776,"3,309","5,484",0,0,724,"2,938","208,004","7,302","146,729","3,462","13,673","22,222",20,0,"3,708","10,889"
,Empties,,,"23,105",630,"21,457",119,121,763,,,12,3,"7,020",756,"5,546",109,136,287,20,,166,,"11,925","1,171","9,849",10,185,648,,,60,2,"19,286","1,706","16,040",,144,672,,,2,722,"61,335","4,263","52,891",238,586,"2,370",20,0,240,727
,Fulls,,,"42,281",744,"28,710",985,"3,349","5,063",,,371,"3,060","24,924",532,"13,183",657,"3,088","4,525",,,955,"1,984","39,076","1,002","24,008",807,"3,486","5,452",,,"1,420","2,902","40,389",761,"27,937",776,"3,165","4,812",,,722,"2,216","146,669","3,039","93,838","3,224","13,087","19,852",0,0,"3,468","10,162"
,Foreign,,,"105,400","105,400",0,0,0,0,0,0,0,0,"101,898","101,898",0,0,0,0,0,0,0,0,"119,511","119,511",0,0,0,0,0,0,0,0,"111,733","111,731",0,0,0,0,0,0,0,2,"438,542","438,540",0,0,0,0,0,0,0,2
,Export,,,"57,075","57,075",0,0,0,0,0,0,0,0,"49,861","49,861",0,0,0,0,0,0,0,0,"63,149","63,149",0,0,0,0,0,0,0,0,"56,039","56,039",0,0,0,0,0,0,0,0,"226,124","226,124",0,0,0,0,0,0,0,0
,Empties,,,"40,811","40,811",,,,,,,,,"39,407","39,407",,,,,,,,,"45,828","45,828",,,,,,,,,"39,829","39,829",,,,,,,,,"165,875","165,875",0,0,0,0,0,0,0,0
,Fulls,,,"16,264","16,264",,,,,,,,,"10,454","10,454",,,,,,,,,"17,321","17,321",,,,,,,,,"16,210","16,210",,,,,,,,,"60,249","60,249",0,0,0,0,0,0,0,0
,Import,,,"48,325","48,325",0,0,0,0,0,0,0,0,"52,037","52,037",0,0,0,0,0,0,0,0,"56,362","56,362",0,0,0,0,0,0,0,0,"55,694","55,692",0,0,0,0,0,0,0,2,"212,418","212,416",0,0,0,0,0,0,0,2
,Empties,,,50,50,,,,,,,,,40,40,,,,,,,,,26,26,,,,,,,,,7,7,,,,,,,,,123,123,0,0,0,0,0,0,0,0
,Fulls,,,"48,275","48,275",,,,,,,,,"51,997","51,997",,,,,,,,,"56,336","56,336",,,,,,,,,"55,687","55,685",,,,,,,,2,"212,295","212,293",0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  264,681 ",  -   ,"  21,770 ","  21,477 ","  8,193 ","  25,381 ","  30,009 ","  48,500 ","  41,059 ","  68,292 ","  91,803 ",  -   ,"  1,560 ","  1,702 ","  1,779 ","  20,021 ","  11,901 ","  16,020 ","  23,191 ","  15,629 ","  150,180 ",  -   ,"  8,370 ","  1,746 ","  4,332 ","  28,928 ","  28,558 ","  22,593 ","  34,265 ","  21,388 ","  199,762 ",  -   ,"  11,641 ","  2,279 ","  5,491 ","  39,639 ","  38,735 ","  43,178 ","  36,331 ","  22,468 ","  706,426 ",  -   ,"  43,341 ","  27,204 ","  19,795 ","  113,969 ","  109,203 ","  130,291 ","  134,846 ","  127,777 "
,Inbound,,,"  137,371 ",  -   ,"  11,198 ","  11,240 ","  4,336 ","  13,284 ","  14,121 ","  24,329 ","  20,253 ","  38,610 ","  46,114 ",  -   ,  744 ,  878 ,  622 ,"  10,732 ","  5,575 ","  7,945 ","  10,367 ","  9,251 ","  73,083 ",  -   ,"  2,976 ",  911 ,"  1,303 ","  15,427 ","  12,890 ","  11,207 ","  15,770 ","  12,599 ","  98,251 ",  -   ,"  4,400 ","  1,202 ","  1,919 ","  20,223 ","  18,663 ","  21,567 ","  16,849 ","  13,428 ","  354,819 ",  -   ,"  19,318 ","  14,231 ","  8,180 ","  59,666 ","  51,249 ","  65,048 ","  63,239 ","  73,888 "
,10W  26000-over,,,"  18,512 ",,"  2,247 ",  673 ,  585 ,"  5,391 ",  546 ,"  4,804 ","  1,821 ","  2,445 ","  13,747 ",,  444 ,  329 ,  240 ,"  4,970 ",  376 ,"  3,844 ","  2,392 ","  1,152 ","  17,693 ",,"  1,535 ",  215 ,  453 ,"  6,435 ",  410 ,"  5,170 ","  1,987 ","  1,488 ","  17,413 ",,"  1,481 ",  240 ,  561 ,"  5,898 ",  768 ,"  5,137 ","  2,080 ","  1,248 ","  67,365 ",  -   ,"  5,707 ","  1,457 ","  1,839 ","  22,694 ","  2,100 ","  18,955 ","  8,280 ","  6,333 "
,4W  1100-2300,,,"  19,082 ",,"  2,763 ","  3,439 ",  315 ,  3 ,"  3,766 ",  588 ,"  1,748 ","  6,460 ","  2,433 ",,  24 ,  12 ,  53 ,"  1,286 ",  637 ,  59 ,  220 ,  142 ,"  4,244 ",,  -   ,  28 ,  95 ,  229 ,"  2,823 ",  248 ,  538 ,  283 ,"  8,013 ",,,  78 ,  186 ,  1 ,"  4,518 ","  1,330 ","  1,389 ",  511 ,"  33,772 ",  -   ,"  2,787 ","  3,557 ",  649 ,"  1,519 ","  11,744 ","  2,225 ","  3,895 ","  7,396 "
,4W  2400-over,,,"  28,643 ",,"  1,904 ","  1,683 ",  648 ,  4 ,  249 ,"  8,050 ","  6,270 ","  9,835 ","  3,373 ",,  105 ,  45 ,  138 ,"  1,544 ",  7 ,"  1,075 ",  102 ,  357 ,"  4,585 ",,  799 ,  97 ,  231 ,  342 ,  18 ,"  2,034 ",  322 ,  742 ,"  11,323 ",,"  1,826 ",  141 ,  361 ,"  1,240 ",  77 ,"  5,992 ",  394 ,"  1,292 ","  47,924 ",  -   ,"  4,634 ","  1,966 ","  1,378 ","  3,130 ",  351 ,"  17,151 ","  7,088 ","  12,226 "
,6W  4800-7500,,,"  12,278 ",,  32 ,"  1,227 ",  167 ,"  3,319 ","  2,402 ",  304 ,"  1,189 ","  3,638 ","  4,112 ",,  3 ,  24 ,  20 ,  585 ,"  1,266 ",  63 ,  842 ,"  1,309 ","  9,780 ",,  -   ,  52 ,  14 ,"  2,951 ","  2,996 ",  103 ,"  1,591 ","  2,073 ","  10,338 ",,,  129 ,  63 ,"  2,739 ","  3,305 ",  254 ,"  1,392 ","  2,456 ","  36,508 ",  -   ,  35 ,"  1,432 ",  264 ,"  9,594 ","  9,969 ",  724 ,"  5,014 ","  9,476 "
