CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 4TH QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,OCTOBER,,,,,,,,,TOTAL,NOVEMBER,,,,,,,,,TOTAL,DECEMBER,,,,,,,,,TOTAL,4TH QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Empties,,,"6,897",746,"3,152",0,"  2,989 ",10,,,,,"6,803",335,"2,302",0,"3,950",217,,,,,"7,109",  657 ,"2,321",0,"3,920",211,,,,,"20,809","1,738","7,775",0,"10,859",438,0,0,0,0
,Fulls,,,"12,426",517,"7,773",318,"  1,466 ","1,789",,,,564,"13,614",530,"8,694",284,"2,178","1,453",,,,476,"12,823",  767 ,"7,252",297,"2,442","1,502",,,,563,"38,863","1,814","23,719",898,"6,085","4,744",0,0,0,"1,603"
,Foreign,,,"35,060","35,060",0,0,0,0,0,0,0,0,"34,872","34,872",0,0,0,0,0,0,0,0,"33,610","  33,610 ",0,0,0,0,0,0,0,0,"103,541","103,541",0,0,0,0,0,0,0,0
,Export,,,"19,085","19,085",0,0,0,0,0,0,0,0,"17,711","17,711",0,0,0,0,,0,0,0,"16,003","  16,003 ",0,0,0,0,,0,0,0,"52,798","52,798",0,0,0,0,0,0,0,0
,Empties,,,"14,968","14,968",,,,,,,,,"13,158","13,158",,,,,,,,,"11,617","  11,617 ",,,,,,0,,,"39,743","39,743",0,0,0,0,0,0,0,0
,Fulls,,,"4,117","4,117",,,,,,,,,"4,552","4,552",,,,,,,,,"4,386","  4,386 ",,,,,,0,,,"13,056","13,056",0,0,0,0,0,0,0,0
,Import,,,"15,975","15,975",0,0,0,0,0,0,0,0,"17,161","17,161",0,0,0,0,0,0,0,0,"17,607","  17,607 ",0,0,0,0,0,0,0,0,"50,743","50,743",0,0,0,0,0,0,0,0
,Empties,,,0,,,,,,,,,,108,108,,,,,,,,,110,  110 ,,,,,,,,,218,218,0,0,0,0,0,0,0,0
,Fulls,,,"15,975","15,975",,,,,,,,,"17,053","17,053",,,,,,,,,"17,497","  17,497 ",,,,,,,,,"50,525","50,525",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
