CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 2ND QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,APRIL 2023,,,,,,,,,TOTAL,MAY 2023,,,,,,,,,TOTAL,JUNE 2023,,,,,,,,,TOTAL,2ND QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,     Heavy Equipment,,,  58 ,,  4 ,  1 ,  9 ,2,  4 ,  8 ,  3 ,  27 ,  47 ,,  11 ,  -   ,  4 ,2,  1 ,  3 ,  26 ,,  53 ,,  10 ,  -   ,  8 ,3,  -   ,  -   ,  25 ,  7 ,  158 ,0,25,1,21,7,5,11,54,34
,     Motor Cycle/ Motor Bike,,,"  23,398 ",,"  1,310 ","  1,600 ",  714 ,923,"  4,485 ","  5,968 ","  3,534 ","  4,864 ","  18,554 ",,"  1,515 ","  2,382 ",  910 ,548,"  3,152 ","  2,852 ","  2,982 ","  4,213 ","  12,992 ",,"  1,201 ","  1,474 ",  592 ,609,"  1,638 ",  263 ,"  2,717 ","  4,498 ","  54,944 ",0,"4,026","5,456","2,216","2,080","9,275","9,083","9,233","13,575"
,  Outbound,,,"  81,598 ",  -   ,"  3,928 ","  6,573 ","  2,300 ","  4,471 ","  13,146 ","  19,649 ","  13,386 ","  18,145 ","  72,492 ",  -   ,"  4,290 ","  7,279 ","  2,566 ","  4,313 ","  11,030 ","  13,365 ","  12,690 ","  16,959 ","  62,295 ",  -   ,"  4,721 ","  6,719 ","  2,333 ","  4,638 ","  7,864 ","  5,672 ","  13,262 ","  17,086 ","  216,385 ",  -   ,"  12,939 ","  20,571 ","  7,199 ","  13,422 ","  32,040 ","  38,686 ","  39,338 ","  52,190 "
,     10W  26000-over,,,"  7,422 ",,"  1,147 ",  483 ,  609 ,"  1,815 ",  327 ,"  2,162 ",  383 ,  496 ,"  8,226 ",,"  1,382 ",  394 ,  765 ,"  2,092 ",  314 ,"  2,189 ",  402 ,  688 ,"  8,179 ",,"  1,533 ",  289 ,  748 ,"  2,083 ",  204 ,"  2,299 ",  373 ,  650 ,"  23,827 ",0,"4,062","1,166","2,122","5,990",845,"6,650","1,158","1,834"
,     4W  1100-2300,,,"  16,964 ",,  356 ,"  1,402 ",  184 ,,"  4,260 ","  2,232 ","  1,689 ","  6,841 ","  11,517 ",,  186 ,"  1,556 ",  157 ,,"  3,375 ","  1,513 ","  1,569 ","  3,161 ","  10,709 ",,  196 ,"  1,553 ",  154 ,,"  2,590 ",  648 ,"  1,985 ","  3,583 ","  39,190 ",0,738,"4,511",495,0,"10,225","4,393","5,243","13,585"
,      4W  2400-over,,,"  14,268 ",,"  1,237 ","  1,422 ",  549 ,  821 ,  -   ,"  6,459 ","  2,248 ","  1,532 ","  15,458 ",,"  1,507 ","  1,592 ",  641 ,  850 ,  -   ,"  4,024 ","  2,107 ","  4,737 ","  11,916 ",,"  1,764 ","  1,585 ",  591 ,  963 ,  -   ,  2 ,"  2,298 ","  4,713 ","  41,642 ",0,"4,508","4,599","1,781","2,634",0,"10,485","6,653","10,982"
,     6W  4800-7500,,,"  4,152 ",,  58 ,  496 ,  35 ,,"  1,470 ",  591 ,  675 ,  827 ,"  4,414 ",,  71 ,  570 ,  88 ,,"  1,581 ",  582 ,  673 ,  849 ,"  4,112 ",,  86 ,  602 ,  76 ,,"  1,390 ",  267 ,  744 ,  947 ,"  12,678 ",0,215,"1,668",199,0,"4,441","1,440","2,092","2,623"
,     6W  7600-15000,,,"  5,870 ",,  225 ,  490 ,  118 ,  842 ,  21 ,"  1,923 ",  841 ,"  1,410 ","  5,771 ",,  257 ,  574 ,  75 ,  798 ,  -   ,"  1,918 ",  832 ,"  1,317 ","  5,998 ",,  301 ,  611 ,  121 ,  992 ,  7 ,"  1,953 ",  692 ,"  1,321 ","  17,639 ",0,783,"1,675",314,"2,632",28,"5,794","2,365","4,048"
,     8W-10W  20000-25000,,,"  8,830 ",,  9 ,  456 ,  7 ,  31 ,"  2,592 ",  149 ,"  4,082 ","  1,504 ","  9,171 ",,  11 ,  429 ,  23 ,  31 ,"  2,608 ",  204 ,"  4,280 ","  1,585 ","  8,515 ",,  7 ,  589 ,  3 ,  34 ,"  1,978 ",  168 ,"  4,298 ","  1,438 ","  26,516 ",0,27,"1,474",33,96,"7,178",521,"12,660","4,527"
,     Heavy Equipment,,,  110 ,,  12 ,  8 ,  20 ,  27 ,  1 ,  10 ,  30 ,  2 ,  94 ,,  37 ,  -   ,  9 ,  15 ,  -   ,  4 ,  20 ,  9 ,  109 ,,  33 ,  10 ,  23 ,  5 ,  -   ,  15 ,  22 ,  1 ,  313 ,0,82,18,52,47,1,29,72,12
,     Motor Cycle/ Motor Bike,,,"  23,982 ",,  884 ,"  1,816 ",  778 ,  935 ,"  4,475 ","  6,123 ","  3,438 ","  5,533 ","  17,841 ",,  839 ,"  2,164 ",  808 ,  527 ,"  3,152 ","  2,931 ","  2,807 ","  4,613 ","  12,757 ",,  801 ,"  1,480 ",  617 ,  561 ,"  1,695 ",  320 ,"  2,850 ","  4,433 ","  54,580 ",0,"2,524","5,460","2,203","2,023","9,322","9,374","9,095","14,579"
